S.No,Latitude,Longitude,Elevation (m),Slope (°),Annual Rainfall (mm),Clay content (%),Sand content (%),Silt content (%),Vol. water content at -10 kPa (%),Vol. water content at -33 kPa (%),Vol. water content at -1500 kPa (%),Soil moisture (m³/m³),Land cover,Distance to road (m),State,District,Subdivision / Taluk,Material Involved,Initiation Year,Elevation Band,Slope Band,Rainfall Band,Road Distance Band,Decade,Elevation Band Sort,Slope Band Sort,Rainfall Band Sort,Road Distance Band Sort
2,8.507778,77.189722,164.0,13.41,1548.0,32.6,37.7,29.7,38.0,29.0,19.0,0.19,Tree cover,25.4,Kerala,Thiruvananthapuram,Kattakkada,Debris,2001,0–500 m,10–20°,1500–2000 mm,10–50 m,2000s,1,2,2,2
26,8.75475,77.125389,818.0,26.51,2289.0,30.3,37.8,31.9,41.3,32.9,20.4,0.204,Tree cover,13.5,Kerala,Thiruvananthapuram,Nedumangad,Debris,2011,500–1000 m,20–30°,2000–2500 mm,10–50 m,2010s,2,3,3,2
28,8.763333,77.076861,147.0,15.14,1802.0,33.6,38.5,28.0,41.5,31.4,20.0,0.2,Tree cover,6.1,Kerala,Thiruvananthapuram,Nedumangad,Debris,1992,0–500 m,10–20°,1500–2000 mm,0–10 m,1990s,1,2,2,1
30,8.764472,77.078611,162.0,24.17,1802.0,33.1,39.2,27.7,41.5,31.4,20.0,0.2,Tree cover,7.3,Kerala,Thiruvananthapuram,Nedumangad,Debris,1992,0–500 m,20–30°,1500–2000 mm,0–10 m,1990s,1,3,2,1
31,8.766997,77.099767,542.0,21.9,2018.0,30.2,39.7,30.1,41.3,32.3,19.5,0.195,Tree cover,100.9,Kerala,Thiruvananthapuram,Nedumangad,Debris,1991,500–1000 m,20–30°,2000–2500 mm,100–500 m,1990s,2,3,3,4
36,8.832028,77.190336,1116.0,18.96,2291.0,33.2,33.9,32.9,41.1,32.7,19.7,0.197,Tree cover,9556.6,Kerala,Kollam,Punalur,Debris,1992,1000–1500 m,10–20°,2000–2500 mm,>1000 m,1990s,3,2,3,6
38,8.846797,77.176111,859.0,25.26,2005.0,35.7,34.6,29.7,43.0,32.4,21.2,0.212,Tree cover,9690.6,Kerala,Kollam,Punalur,Rock,1992,500–1000 m,20–30°,2000–2500 mm,>1000 m,1990s,2,3,3,6
40,8.88925,77.016916,265.0,21.46,2015.0,35.0,37.9,27.1,39.4,33.4,20.2,0.202,Tree cover,771.5,Kerala,Thiruvananthapuram,Punalur,Debris,1992,0–500 m,20–30°,2000–2500 mm,500–1000 m,1990s,1,3,3,5
42,8.913889,76.988889,278.0,14.68,2133.0,36.3,33.6,30.1,39.7,34.3,20.2,0.202,Tree cover,1498.6,Kerala,Kollam,Punalur,Debris,2006,0–500 m,10–20°,2000–2500 mm,>1000 m,2000s,1,2,3,6
45,8.96125,77.135342,297.0,37.93,1682.0,32.3,42.9,24.8,38.9,29.2,20.1,0.201,Tree cover,306.9,Kerala,Kollam,Punalur,Debris,1992,0–500 m,30–40°,1500–2000 mm,100–500 m,1990s,1,4,2,4
50,8.984111,77.131806,257.0,9.45,1745.0,33.3,40.2,26.5,39.0,30.7,19.8,0.198,Tree cover,244.1,Kerala,Kollam,Punalur,Debris,2014,0–500 m,0–10°,1500–2000 mm,100–500 m,2010s,1,1,2,4
52,8.999222,77.13325,408.0,15.6,1741.0,33.3,37.9,28.8,39.1,30.7,20.0,0.2,Grassland,1500.0,Kerala,Kollam,Punalur,Debris,1992,0–500 m,10–20°,1500–2000 mm,>1000 m,1990s,1,2,2,6
88,9.233194,76.935817,230.0,13.79,2363.0,34.3,33.9,31.8,40.7,33.0,19.3,0.193,Tree cover,9.5,Kerala,Pathanamthita,Konni,Soil,2006,0–500 m,10–20°,2000–2500 mm,0–10 m,2000s,1,2,3,1
105,9.31,77.1,675.0,47.65,1988.0,32.2,37.7,30.1,40.4,31.8,18.9,0.189,Tree cover,553.9,Kerala,Pathanamthitta,Konni,Debris,2019,500–1000 m,40–50°,1500–2000 mm,500–1000 m,2010s,2,5,2,5
246,9.73867,76.87547,665.0,34.4,2957.0,32.0,36.7,31.3,40.3,33.9,18.7,0.187,Tree cover,119.8,Kerala,Idukki,Peerumade,Debris,2007,500–1000 m,30–40°,2500–3000 mm,100–500 m,2000s,2,4,4,4
247,9.7409,76.8724,650.0,38.92,3016.0,31.9,37.0,31.1,41.6,32.2,21.0,0.21,Tree cover,37.0,Kerala,Idukki,Thodupuzha,Debris,2007,500–1000 m,30–40°,3000–4000 mm,10–50 m,2000s,2,4,5,2
